ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30
1007_s_at	1716.7	1413.8	1658.4	2297.9	1562.8	1465.9	1215.3	1238.5	1964.3	1352.2	1283.8	1270.5	1553	1518.7	974.1	1234.1	1667.3	1639.2	1366.5	1305.3	1380.8	1079.5	1058.1	1305.2	1509.5	1170.1	1798.5	1097.1	1068.8	1618.5
1053_at	30.5	40.2	43.5	42.7	21.8	41.6	22.4	10	36	7.3	19.5	5.3	101.9	44.3	58.9	66.6	26.2	34.3	25	23.8	6	32.1	52.4	22.4	24.5	35.5	57.1	21.1	25.7	16.2
117_at	25.2	111.8	97.6	28.5	33.3	19.3	78.9	78.1	74.5	91.3	47	38.5	69.8	47	88.7	80.3	85.5	102.2	72.6	57.6	40.9	47.7	19.4	11.5	55.7	45.1	9.6	37.4	40.4	39.3
121_at	562.9	490.3	509.7	422.2	398.2	492.3	400.1	496	365.1	707.1	313.4	327.9	383.6	456	460.1	477.4	507.7	500.3	422	404.6	631.4	323.9	333.1	405	389.2	255.5	475.3	392.5	397.7	532.8
1255_g_at	28.5	57.1	39.8	10	15.6	51.1	34.6	26.5	50.6	1.9	27.1	18.3	16.3	18.5	13.8	48	10.8	28	32.9	29.6	10.8	22.7	38.5	13.2	34.2	10.7	55.8	39	3.5	17.2
1294_at	145.8	250.6	184.5	236.6	223.9	202.9	156.9	260.6	183.2	329.8	160	137.2	123.5	163.7	201.2	169.5	213	165	269.5	213.2	260.1	260.1	358.3	260.1	154	186	257.4	162.5	165.3	216.6
1316_at	70.7	48.5	104.2	69.5	71.6	87.2	79.9	75.2	166.2	99.5	54.2	47.2	82.8	60	56.5	5.1	120.7	40	84.2	82.6	98	50.4	114.4	115.2	97.2	34.1	120.5	71	61.9	87.7
1320_at	12.9	12.9	69.9	31.7	16.4	47.5	5.8	44.2	12.1	18.4	3.1	6	2.9	10.7	4.4	40.4	13	48.4	9.9	29.7	6.5	4.7	14.3	11.3	6.2	10.5	19	30	11.1	9.5
1405_i_at	33.6	162.3	64.1	49.9	184.1	101.6	289.2	36	4.4	79.3	137.1	117.7	39.2	24.5	130.5	160.5	74.3	42.4	168.7	233.2	73.3	168.4	63.6	19.1	27.8	288	24.7	208.3	228.7	160.3
1431_at	68.4	23	13.8	29.3	21.9	31.6	34.3	15.4	61.6	67.4	31.2	16.7	27.9	39	35.7	9.4	53.6	5.8	63.8	19.9	49	17.3	25.9	55.7	16.3	18.8	46.5	16.2	12.8	37.9
1438_at	29.7	66.5	43.8	44.9	28.7	78.5	39.2	45	76.1	53.1	45.6	26.5	47.3	56.5	54.4	48	141.3	80.7	68.2	49.2	125.5	45.4	13.2	58.2	54.6	55.3	41.2	75.1	25.5	49.4
1487_at	145.6	143.4	175.2	145.3	249.8	183.3	205	223.2	151.7	185.3	179.9	182.5	188.4	177.4	148.4	192.8	216.2	183.2	253.1	237.3	328.5	212	325.4	213.9	183.6	190	216.3	186.1	184.6	219.4
1494_f_at	123.6	224.8	239.8	170	176.5	143	181.4	875.3	203.2	349.6	151	144.4	185.1	242	798.3	145.4	219.2	254.1	537.3	167.2	236.4	152.2	198.1	184.2	174.8	148.3	139.1	180.5	131.9	748.7
1598_g_at	517.3	648.9	676.6	426.7	339.5	328.7	368.1	511.7	400.6	337.9	260.2	261.1	441.4	528.6	470.7	245	609.6	477	624.3	359.3	618.9	355.1	309.2	398.8	238.6	303.3	342.8	375.2	391	531.5
160020_at	133.3	121.4	211.8	163.8	264	123	281.3	287.4	238.1	336	221	170.7	165.4	171.7	156.9	201.9	216.1	144.3	202.1	288.7	262.7	227.3	142.9	92.5	198	158.5	171.5	237.3	244.2	335.8
1729_at	363.8	226.4	280	445.3	156	267.4	46.5	172.4	270.5	289.6	285.6	351.9	239.4	200.8	190.3	238.9	177.8	288.7	297.8	236.5	250.7	189	177.7	398.2	181.4	249.9	316.7	169.6	156.3	208.7
1773_at	23.2	12.8	13.6	47.9	15.3	9.4	9.5	63.1	27.4	9.3	21.2	24.3	35.3	82.1	39.7	72.9	68.6	10.3	55.9	38.8	10.9	11.2	110.9	12.5	57.3	22.2	4.3	14.7	10.5	32.9
177_at	95.4	106.2	103.9	72.8	61.4	84.8	37.9	83.7	78.4	99.1	79.9	38.1	49.5	106.1	42.1	47.6	72.4	45.8	65.8	39.9	79.5	34.8	89.3	27.7	36.4	33.6	81.4	46.7	31.3	74.5
179_at	616.4	874	435.7	499.7	477.2	505	372.7	403.3	379.9	572.7	393.5	430.9	499.7	487.5	382.4	421.9	534.7	438.8	375.6	447.9	711.4	368.5	354	339.1	424.2	270	466.5	342.4	450.5	360.6
1861_at	113.3	125.5	17.2	125.1	117	102.7	98.8	92.5	114.7	198.1	78.7	74.4	64.1	143.6	70.7	67.1	100.3	123.8	141.2	86.8	88.7	49.6	91.7	143.2	123.9	71.7	78.5	77.5	57.4	101.1
200000_s_at	656.2	537.9	620.9	711.8	347	552	318	532.5	497.5	680.9	369.4	288.3	585.1	722.5	585.7	419.3	844.3	637	594.7	300	632.6	451.1	403.4	443.4	552.8	394.9	419.3	369.9	176.4	251.7
200001_at	1338.8	721.4	1026.3	1128.1	1197.6	1410	806.8	536	941	756.6	1020.7	712.8	1114.6	1214.2	886.4	1122.6	1326	1615.8	681.8	1248	670.2	982.9	635.1	843.4	1319.2	1129.1	724	900.2	680.7	855.9
200002_at	1718.7	2504.4	1888.2	2571.4	1576.4	1343.9	1794.4	2405.6	2760.8	2548.1	1813.9	1804.2	1485.6	2438.1	2881.2	1634.9	2534	2386.5	2375	1509.6	2988.1	2166.6	1802.9	1513	2018.1	1780.4	1505.5	1573.6	1615	1242.9
